player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition
KXMeOde6q6,Clément Diop,1993-10-13,Senegal,GK,GK,,,"['2016', '2017', '2019', '2020', '2021', '2022', '2023']",6.0,1.0,165.0,mls
KXMeOPmPq6,Alec Sundly,1992-07-08,USA,,,,,{},6.0,0.0,159.0,mls
KXMeOVpXq6,Marcelo,1989-07-27,Brazil,DF,CB,,,2019,6.0,0.0,163.0,mls
KXMepGPQ64,Marcel de Jong,1986-10-15,Canada,DF,FB,,,"['2015', '2016', '2017', '2018']",5.0,9.0,161.0,mls
KXMepVPQ64,Marvin Emnes,1988-05-27,Netherlands,,,,,{},5.0,11.0,146.0,mls
KXMerEB564,Seth Sinovic,1987-01-28,USA,DF,FB,,,"['2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']",5.0,9.0,172.0,mls
KXMeRrKB56,Monday Etim,1998-12-04,Nigeria,,,,,{},5.0,9.0,163.0,mls
KXMexaXQ64,Clint Dempsey,1983-03-09,USA,FW,ST,MF,AM,"['2013', '2014', '2015', '2016', '2017', '2018']",6.0,1.0,172.0,mls
KXMeYlxM64,Brandon McDonald,1986-01-16,USA,DF,CB,,,2013,6.0,1.0,185.0,mls
l7vQ7125D1,Thierry Henry,1977-08-17,France,FW,ST,,,"['2013', '2014']",6.0,2.0,185.0,mls
lgpMOvnQzy,Carlo Cudicini,1973-09-06,Italy,GK,GK,,,2013,6.0,1.0,163.0,mls
ljqE1Lwqx0,Leonardo Jara,1991-05-20,Argentina,DF,FB,,,2019,5.0,10.0,159.0,mls
